grant_id,funding.agency,funding.amount,date.start,date.end,title,abstract
100000,NSF,845000,3/8/2004,1/11/2010,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut sit amet sapien nec magna tristique suscipit ac non elit. Praesent massa magna, elementum in tristique vitae, fringilla id sem. Etiam quis lacus a dolor faucibus sagittis a quis lacus. In aliquet ullamcorper est, accumsan pretium leo adipiscing sit amet."
100001,BBB,497000,4/27/2004,2/9/2010,Duis tempus dui tristique tellus porttitor auctor.,"Vestibulum feugiat, sapien sit amet tempus semper, lectus erat tincidunt nunc, id molestie eros quam non arcu. Quisque quam diam, congue sed varius aliquet, tristique sit amet enim. Fusce at auctor velit. Pellentesque sollicitudin feugiat metus, sed tempor nisi pharetra vel. Aenean nec est velit. Sed metus magna, placerat nec sodales nec, ornare in sapien."
100002,ABC,406000,5/25/2004,2/18/2010,Proin sit amet quam blandit sem egestas ultrices a at urna.,Sed a arcu tortor. Vestibulum eget iaculis felis. Nunc id semper magna. Sed dictum bibendum laoreet. Suspendisse potenti. Donec tincidunt tortor non enim volutpat ut interdum magna tempus.
100003,DDD,253000,6/24/2004,3/9/2010,In interdum odio commodo augue laoreet a facilisis nisi malesuada.,"Integer ac lectus elit, vel pellentesque sem. Aliquam venenatis nibh quis mauris varius et congue tellus bibendum. Duis luctus, erat ac mollis interdum, eros ipsum viverra ligula, in tincidunt orci ipsum a quam. Donec porttitor vehicula tellus vel ultricies."
100004,NSF,639000,8/19/2004,4/5/2010,Praesent adipiscing ligula sit amet lacus tincidunt ut viverra lectus viverra.,"Donec blandit, nibh adipiscing posuere accumsan, lectus urna pellentesque enim, sed mollis diam erat ut diam. Fusce egestas ipsum id purus tincidunt ut luctus nibh posuere. Maecenas fermentum, magna sit amet imperdiet suscipit, odio orci suscipit eros, vitae accumsan neque elit nec augue."
100005,BBB,170000,8/26/2004,4/28/2010,Quisque ut purus et elit imperdiet rhoncus in eget lorem.,"Donec semper, leo id pharetra sollicitudin, libero eros consectetur lacus, feugiat molestie nulla augue a lacus. Nam malesuada mauris tincidunt neque euismod in malesuada mauris bibendum. Fusce tortor libero, aliquam in viverra sed, consectetur eu dui."
100006,ABC,900000,9/3/2004,4/29/2010,"Phasellus fringilla pulvinar sem, sed fermentum enim convallis at.","Nunc dignissim justo ac quam volutpat non tincidunt libero fermentum. In interdum eros quis felis lacinia condimentum. Nulla pulvinar auctor nisi, vitae dapibus ipsum sagittis eu. Integer tristique dolor sit amet ipsum tempus ultrices. Mauris pharetra molestie imperdiet."
100007,DDD,435000,9/30/2004,5/5/2010,Quisque tempor nibh ut dolor auctor dapibus.,"Integer varius ipsum nec tellus tristique eu volutpat metus pellentesque. Nunc lorem lectus, porta in scelerisque ut, laoreet a elit."
100008,NSF,59000,10/18/2004,6/30/2010,"Mauris ut erat tortor, non sagittis tortor.","Proin sit amet enim velit. Duis lacus odio, rutrum ac adipiscing at, tempor et lectus. Fusce rutrum tellus fringilla est egestas nec pretium massa convallis."
100009,BBB,234000,11/29/2004,9/16/2010,Cras rhoncus nulla eget dui suscipit pretium.,"Duis vestibulum elit vitae augue mollis hendrerit. Nam elementum scelerisque turpis, eu hendrerit ligula tincidunt quis. Curabitur blandit, metus eu porta scelerisque, lacus tellus tristique neque, non aliquam sapien lectus ut eros. Aliquam erat volutpat."
100010,ABC,171000,3/8/2004,10/1/2010,Morbi varius ligula a lectus imperdiet a ornare nulla molestie.,"Proin ligula nisl, laoreet id facilisis fermentum, sagittis eu felis. Donec convallis erat in erat ultricies vitae scelerisque sapien fermentum. Maecenas ultrices sagittis rutrum. Etiam tincidunt, ipsum eu dapibus congue, mauris enim adipiscing tortor, ac posuere urna arcu non mi."
100011,DDD,582000,4/27/2004,10/8/2010,Etiam ac mi non risus adipiscing tincidunt sit amet vitae lacus.,Mauris eget nibh at leo semper porta. Donec in aliquet mauris. Nam non arcu a purus rutrum varius. Suspendisse sagittis ultricies eros nec tincidunt. Sed imperdiet justo a augue accumsan ac laoreet augue tempor. Aenean iaculis dolor elit. Aliquam tempor ultrices vehicula.
100012,NSF,73000,5/25/2004,10/28/2010,"Etiam at risus velit, sed hendrerit lacus.","Nam non dolor tortor. In at auctor orci. Pellentesque gravida porttitor felis, vitae ornare diam vulputate a. Cras mollis vulputate leo ac hendrerit. Sed consectetur mollis turpis semper pulvinar."
100013,BBB,64000,3/8/2004,11/29/2010,"Etiam dapibus rutrum massa, eu interdum arcu ullamcorper nec.","Integer eu risus sit amet leo tempor ornare non vitae nunc. Curabitur aliquet feugiat porta. In facilisis lacinia porta. Donec in libero ligula, non pellentesque dolor."
100014,ABC,24000,4/27/2004,12/10/2010,Sed dignissim dolor nec tellus ullamcorper fringilla.,"Morbi luctus massa eget mi placerat eu dapibus erat luctus. Sed ultricies, erat quis condimentum adipiscing, purus sem eleifend orci, vitae bibendum mi nisl vitae diam. Cras et imperdiet lorem. Donec tortor massa, suscipit in auctor ultricies, pulvinar volutpat eros."
100015,DDD,69000,5/25/2004,1/27/2011,"Aenean a neque est, sit amet tincidunt neque.","Proin vitae enim nibh, quis scelerisque felis. Integer gravida mauris quis risus elementum sit amet aliquet purus rutrum. Donec eleifend purus eget nisi accumsan mattis."
100016,NSF,26000,6/24/2004,3/7/2011,Aenean ac massa sed nulla lacinia molestie non ut neque.,"Duis adipiscing ipsum nec erat congue hendrerit. Etiam a vestibulum ligula. Nulla dapibus, lorem id dapibus bibendum, diam nulla tincidunt risus, eu egestas eros leo id metus. Praesent tempor purus a magna lobortis vehicula."
100017,BBB,80000,8/19/2004,3/15/2011,Aenean congue ante in massa commodo rutrum dignissim non eros.,"Cras ac hendrerit dolor. Quisque in dolor varius felis placerat vehicula. Phasellus facilisis convallis dui, eu vehicula odio rutrum eu. Donec sed nisi porta nulla porta luctus ut nec ligula. Aliquam erat volutpat. Quisque pharetra purus quis urna pulvinar gravida. In hac habitasse platea dictumst. Pellentesque eget mauris nisl."
100018,ABC,14000,3/8/2004,3/18/2011,"Aenean convallis cursus sem, et viverra nisl iaculis sit amet.","Vivamus quis augue quis diam congue euismod id ac ipsum. Phasellus vitae nisi nisi. Praesent molestie dignissim congue. In at magna vel lectus venenatis accumsan eget sed eros. Duis sed justo ante. Praesent libero mauris, ultrices vitae vulputate eu, laoreet quis quam."
100019,DDD,18000,4/27/2004,3/28/2011,"Aenean dignissim porta mauris, sit amet lacinia quam ullamcorper gravida.","Sed aliquet mollis lacinia. Aliquam ipsum leo, convallis vel dictum et, cursus eget erat. Nunc luctus gravida lectus quis tristique. Phasellus consectetur laoreet molestie."
100020,EFG,11000,5/25/2004,6/9/2011,Aenean eget massa gravida nisl volutpat dapibus sed ac ipsum.,"Sed adipiscing egestas est, nec consequat ante consequat vitae. Aliquam sit amet tellus mi, eget lobortis tellus. Nunc vehicula mi ut nunc ullamcorper fringilla. Ut quis arcu ut metus varius gravida nec at dolor."
100021,Dept of Education,5000,6/24/2004,6/17/2011,Aenean eget nibh non magna luctus hendrerit.,"Sed erat tortor, consectetur non sollicitudin id, aliquam eget nulla. Nam ullamcorper molestie dolor, quis rutrum libero feugiat non. Nam pharetra laoreet ipsum, quis congue ligula suscipit id."
100022,BBB,12000,8/19/2004,1/11/2010,"Aenean euismod molestie massa, et blandit purus eleifend vel.","Nulla neque magna, tempus vitae porttitor ac, ullamcorper at quam. Fusce porta orci vel sapien elementum rutrum. Integer non libero eros, non viverra erat."
100023,ABC,27000,8/26/2004,2/9/2010,Aenean id lacus sit amet metus tincidunt pulvinar vitae nec nulla.,"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Nullam non enim lacus, ac lobortis lacus. Nullam a arcu a turpis gravida sollicitudin quis a lacus. Duis ante nisi, placerat id tempor ut, vehicula eu diam. Nullam nec metus mi. Duis in diam eget lacus venenatis vestibulum at sed nunc."
100024,DDD,36000,9/3/2004,2/18/2010,Aenean luctus odio ut enim ultricies auctor.,"Praesent elementum, eros in sagittis venenatis, elit metus dictum neque, in hendrerit mauris nisl in augue. Phasellus eu ipsum libero, quis vehicula ante. Etiam suscipit metus in velit sollicitudin eu pharetra erat commodo."
100025,NSF,48000,9/30/2004,3/9/2010,"Aenean mollis feugiat nunc, a gravida quam lacinia eget.","Phasellus pretium faucibus lectus, nec scelerisque eros eleifend vitae. Aenean id faucibus odio. Sed dictum tempus lectus ac aliquet. Vivamus accumsan varius leo eu ultricies. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nam quam ante, posuere quis aliquet at, porta ac leo. Pellentesque a varius urna."
