organization_id,name,street,city,county,state,zipcode,country,latitude,longitude
100,Institute of Holen,200 California St,San Francisco,San Francisco,CA,94111,USA,37.793584,-122.39903
101,Institute of Livermore,700 W Highway 287,Lander,Fremont,WY,82520,USA,42.834875,42.834875
102,Institute of Bartram,6220 S Orange Blossom Trl,Orlando,Orange,FL,32809,USA,28.466834,-81.403263
103,Institute of Gochenour,286 State St,Perth Amboy,Middlesex,NJ,8861,USA,40.508115,-74.268
104,Institute of Varona,396 Levesque Blvd,Montreal,,QC,H3B 4W8,CAN,45.501685,-73.567688
105,Institute of Valadez,1160 Wccs,Homer City,Indiana,PA,15748,USA,40.543401,-79.162257
106,Institute of Priolo,22661 S Frontage Rd,Channahon,Will,IL,60410,USA,41.471666,-88.193037
107,Institute of Blackwell,926 E Park Ave,Tallahassee,Leon,FL,32301,USA,30.44202,-84.266021
108,Institute of Dugan,28 W 27th St,New York,New York,NY,10001,USA,40.7447799,-73.989872
109,Mcwaters Organization,6030 Greenwood Plaza Blvd,Englewood,Arapahoe,CO,80111,USA,39.607771,-104.898261
110,University of Blay,1722 White Horse Mercerville R,Trenton,Mercer,NJ,8619,USA,40.222403,-74.688042
111,University of Fehrenbach,1092 Saint Georges Ave,Rahway,Union,NJ,7065,USA,40.607976,-74.287224
112,University of Haberman,3916 Horner Ave,Toronto,,ON,M8W 4Y4,CAN,43.603051,-79.539342
113,University of Beery,645 Church St,Norfolk,Norfolk City,VA,23510,USA,36.852981,-76.280774
114,University of Gerken,100 Thanet Circ,Trenton,Mercer,NJ,8648,USA,40.291297,-74.722002
115,University ABX,Pearlridge,Aiea,Honolulu,HI,96701,USA,21.382144,-157.938863
116,University of Maurice,1418 3rd Ave,New York,New York,NY,10028,USA,40.775349,-73.956742
117,University of Funches,2656 Princess St,Kingston,,ON,K7L 1C2,CAN,44.236237,-76.499897
118,University of Burse,3050 rue Saint-Charles,Longueuil,,QC,J4H 1M3,CAN,45.534856,-73.514265
119,University of Ash,2920 Dry Pine Bay Rd,Killarney,,ON,P0M 2A0,CAN,46.060718,-80.584533
