patent_id,title,abstract,date.filing,date.granted
8424111,"Near-field optical microscope, near-field optical probe, and sample observation method","Vivamus tempor, neque id vehicula ornare, tellus sapien ornare dolor, at rutrum lorem elit eget arcu. Ut consectetur, odio commodo auctor aliquam, erat tellus sodales velit, quis cursus nisi diam in nunc. Morbi feugiat mollis auctor. Nunc eu est nec elit vulputate bibendum a ac dui. Duis ac diam vel ligula feugiat laoreet volutpat vulputate augue. Maecenas vehicula libero et lacus feugiat semper vitae ut metus. Morbi iaculis, mauris at tincidunt malesuada, dolor ipsum vehicula odio, vitae fringilla nulla libero ac nibh. Sed diam risus, faucibus lacinia ultricies vitae, aliquet ac lorem. Suspendisse nulla odio, dignissim sit amet iaculis faucibus, sollicitudin ac ipsum. Sed tempus varius lobortis. Nulla facilisi. Mauris mattis ligula eu nibh pellentesque blandit. Vivamus tempor consequat risus a eleifend.",3/4/2011,12/29/2011
8424101,"Information processing apparatus and method, information recording medium manufacturing apparatus and method, and information recording medium","Duis ligula est, ultrices ac egestas non, sollicitudin non ante. Ut pharetra, sem volutpat gravida mattis, libero lacus euismod nisl, non viverra urna neque ut dolor. Integer posuere nisl orci. Vestibulum ultrices est a magna egestas sollicitudin. Vivamus commodo bibendum laoreet. Praesent vestibulum leo eget augue tempor id aliquet augue pulvinar. Duis id elementum elit. Suspendisse potenti. Donec sed lorem ac ipsum tristique tincidunt. Donec mollis adipiscing leo, ornare euismod mauris rhoncus a. Aliquam malesuada ipsum non elit egestas in sodales massa convallis. Praesent ipsum orci, interdum eu congue vitae, pretium in erat.",3/8/2011,1/2/2012
8424096,Color based network security,"Nullam non odio vitae odio adipiscing lacinia mattis a urna. Etiam vel urna lacus, id malesuada est. Nulla semper, diam nec ultricies iaculis, augue odio tincidunt magna, nec porttitor tortor turpis a sem. Mauris ut metus turpis. Proin ac lacus nulla. Pellentesque id fermentum ligula. Aliquam eleifend accumsan neque a convallis. Nulla sit amet nunc risus. Donec rutrum egestas venenatis. Pellentesque auctor sodales erat, id tincidunt erat tempor vitae. Fusce at felis mi. Praesent facilisis nulla magna. Suspendisse mattis vehicula justo fringilla varius.",3/5/2011,12/30/2011
8424094,Automated collection of forensic evidence associated with a network security incident,"Aliquam erat volutpat. Aliquam sed nisl sit amet turpis feugiat commodo. Curabitur erat elit, fringilla nec tempus vitae, sodales eget nunc. Suspendisse nec neque a urna hendrerit ultrices vitae ut dolor. Duis eget scelerisque arcu. Quisque ullamcorper, velit sagittis faucibus euismod, risus augue lobortis nulla, sit amet egestas nisi risus eu est. Mauris auctor luctus felis. Etiam leo ipsum, vehicula non posuere nec, fermentum id elit. Morbi tempus nunc at odio pretium porttitor. Sed mattis consequat massa, sit amet pulvinar velit iaculis convallis. Nunc suscipit consequat magna.",4/9/2011,2/3/2012
8424093,System and method for updating antivirus cache,"Donec venenatis scelerisque sem, sit amet consectetur metus blandit et. Aliquam at urna ut sapien mollis imperdiet. Suspendisse suscipit enim faucibus lectus ornare tincidunt. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Maecenas urna massa, blandit vitae aliquet sed, interdum sed leo. Duis placerat aliquam massa, ac fringilla dolor porta hendrerit. Praesent purus urna, congue a facilisis at, laoreet id enim. Vivamus est ligula, faucibus a placerat quis, porttitor nec est. Sed iaculis, diam vel porta laoreet, diam tortor varius lacus, quis molestie ligula elit vel tortor. Vestibulum venenatis nunc ut tellus placerat volutpat sed a massa. In hac habitasse platea dictumst.",5/14/2011,3/9/2012
8424089,Virus immunization using prioritized routing,"Donec lectus sapien, tincidunt sit amet pulvinar et, adipiscing id diam. Nunc laoreet tristique metus, vitae interdum tortor sollicitudin congue. Ut viverra tempus lacinia. Aliquam auctor, dolor a gravida venenatis, lacus erat tincidunt elit, a cursus ante dui quis leo. Etiam sodales laoreet condimentum. Cras at diam ut dolor suscipit interdum. Fusce felis arcu, pretium quis porta at, posuere dignissim ante. Sed rhoncus augue id enim ornare accumsan eget a ligula. Etiam gravida egestas dui, quis gravida mi lacinia quis. Etiam pharetra, dui in gravida pulvinar, tellus urna luctus sapien, sit amet placerat leo est nec eros. Aenean interdum sodales velit in aliquet. Duis porta nunc ut arcu volutpat sit amet consectetur libero tristique.",6/18/2011,4/13/2012
8424080,Electronic device and authentication method of electronic device,"Morbi eget nulla nec dolor facilisis accumsan. Nulla facilisi. Donec ut libero non dolor placerat molestie nec quis enim. Curabitur sed massa eget turpis posuere consequat rutrum in libero. Nullam at lorem sit amet arcu bibendum gravida. Praesent accumsan nulla sit amet felis accumsan interdum. Duis venenatis molestie est non dapibus. Suspendisse potenti. Integer et dui vel massa iaculis venenatis a ut lectus. Sed consequat, sem quis iaculis interdum, dui tortor ultrices sapien, at sodales diam felis iaculis quam. Suspendisse imperdiet mauris ante, ut varius sem.",7/23/2011,5/18/2012
8424075,Collaborative firewall for a distributed virtual environment,"Vivamus tincidunt fringilla nibh, non commodo nulla tempor at. Sed suscipit egestas lectus id varius. Maecenas rutrum nibh in urna aliquam porttitor. Etiam lobortis quam vel orci porta dapibus. Praesent ut odio nec erat hendrerit aliquet ut in sem. Donec nec purus nec lorem mollis fermentum at a lacus. Nullam felis massa, feugiat vel dignissim at, faucibus et sapien. Ut rhoncus fermentum vulputate. Proin feugiat nisi non eros consequat vitae ornare diam elementum. Fusce vehicula vulputate tincidunt. Fusce sagittis mi ante, sit amet blandit tellus. Praesent ut leo ante. Ut sed lacinia erat. Aenean mollis nisi nec dolor sodales pellentesque. Morbi id justo eu risus pharetra convallis vitae nec velit.",8/27/2011,6/22/2012
8424061,"Method, system and program product for authenticating a user seeking to perform an electronic service request","Ut lectus nunc, mattis sed pretium dictum, dictum et purus. Mauris eros risus, placerat at laoreet id, placerat id justo. Nam orci velit, vehicula nec congue tempor, iaculis eget massa. Cras lacinia sodales dolor at mattis. Proin porta ornare tortor quis consequat. Sed eros nunc, sodales ut condimentum nec, convallis non mauris. Proin erat mauris, pellentesque vitae consequat nec, porttitor quis massa. Nam ultricies volutpat elit eu tempus. Praesent arcu tellus, porta quis aliquet semper, lacinia at dui. Curabitur magna sapien, venenatis id pellentesque porttitor, faucibus eget turpis. Ut tristique metus sed nulla venenatis cursus eu a mauris. Nulla eu sem ipsum, at tempor nulla. Maecenas et urna id nulla posuere luctus a at lorem. Donec lobortis justo quis nibh venenatis quis feugiat elit iaculis. Curabitur adipiscing pellentesque est vitae sodales.",10/1/2011,7/27/2012
8424059,Calculating multi-tenancy resource requirements and automated tenant dynamic placement in a multi-tenant shared environment,"Aenean sit amet augue est. Suspendisse porttitor molestie ante vel tempor. Donec eget mauris quis nulla fermentum consectetur. Sed eu est dolor. Sed turpis est, dapibus facilisis rhoncus sollicitudin, porta nec libero. Aliquam consequat erat vel mi varius vestibulum. Vivamus pharetra tincidunt lorem porttitor posuere. Proin sed ligula risus, nec viverra nulla. Aenean tellus velit, tincidunt ut accumsan ac, porta sit amet elit. Mauris adipiscing, nunc nec mollis dignissim, magna felis convallis nunc, nec tristique metus elit non eros. Nullam sit amet magna arcu. Aliquam dictum vehicula pellentesque. Aliquam lorem elit, sodales non viverra sit amet, dignissim ut est. Morbi vestibulum metus vitae nibh aliquet ut mattis purus placerat. Quisque pellentesque magna ut ligula tristique id viverra mauris consectetur. Morbi ultrices iaculis nisi, a porttitor metus volutpat eu.",11/5/2011,8/31/2012
